state,total_pop,diff_president_votes
DE,973764,95665
DC,705749,298737
FL,21477737,-371686
GA,10617423,11779
HI,1415872,169266
ID,1787065,-267098
IL,12671821,1429227
IN,6732219,-487357
IA,3155070,-138611
KS,2913314,-199431
KY,4467673,-554172
LA,4648794,-399742
ME,1344212,70574
MD,6045680,1008609
MA,6892503,1215000
MI,9986857,154188
MN,5639632,233012
MS,2976149,-217366
MO,6137428,-465722
MT,1068778,-98816
NE,1934408,-182263
NV,3080156,33596
NH,1359711,59267
NJ,8882190,725061
NM,2096829,99720
NY,19453561,1993776
NC,10488084,-74481
ND,762062,-120693
OH,11689100,-475669
OK,3956971,-516390
OR,4217737,381935
PA,12801989,81660
RI,1059361,106373
SC,5148714,-293562
SD,884659,-110572
TN,6829174,-709035
TX,28995881,-631221
UT,3205958,-304858
VT,623989,130116
VA,8535519,451138
WA,7614893,784961
WV,1792147,-309398
WI,5822434,20608
WY,578759,-120068
AL,4903185,-591520
AK,731545,-36487
AR,3017804,-336715
CA,39512223,5103803
CO,5758736,439745
CT,3565287,365389
AZ,7278717,10457
